Unnamed: 0,lora_key,shape,new_k,attn_processor_key,sub_key
959,lora_unet_middle_block_1_transformer_blocks_6_ff_net_2.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_6_ff_net_2.lora_up.weight,,middle_block_1_transformer_blocks_6_ff_net_2.lora_up.weight
960,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_k.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn1_to_k.alpha,,middle_block_1_transformer_blocks_7_attn1_to_k.alpha
961,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_k.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_7_attn1_to_k.lora_down.weight,,middle_block_1_transformer_blocks_7_attn1_to_k.lora_down.weight
962,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_k.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn1_to_k.lora_up.weight,,middle_block_1_transformer_blocks_7_attn1_to_k.lora_up.weight
963,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_out_0.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn1_to_out_0.alpha,,middle_block_1_transformer_blocks_7_attn1_to_out_0.alpha
964,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_out_0.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_7_attn1_to_out_0.lora_down.weight,,middle_block_1_transformer_blocks_7_attn1_to_out_0.lora_down.weight
965,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_out_0.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn1_to_out_0.lora_up.weight,,middle_block_1_transformer_blocks_7_attn1_to_out_0.lora_up.weight
966,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_q.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn1_to_q.alpha,,middle_block_1_transformer_blocks_7_attn1_to_q.alpha
967,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_q.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_7_attn1_to_q.lora_down.weight,,middle_block_1_transformer_blocks_7_attn1_to_q.lora_down.weight
968,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_q.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn1_to_q.lora_up.weight,,middle_block_1_transformer_blocks_7_attn1_to_q.lora_up.weight
969,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_v.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn1_to_v.alpha,,middle_block_1_transformer_blocks_7_attn1_to_v.alpha
970,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_v.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_7_attn1_to_v.lora_down.weight,,middle_block_1_transformer_blocks_7_attn1_to_v.lora_down.weight
971,lora_unet_middle_block_1_transformer_blocks_7_attn1_to_v.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn1_to_v.lora_up.weight,,middle_block_1_transformer_blocks_7_attn1_to_v.lora_up.weight
972,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_k.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn2_to_k.alpha,,middle_block_1_transformer_blocks_7_attn2_to_k.alpha
973,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_k.lora_down.weight,"torch.Size([32, 2048])",middle_block_1_transformer_blocks_7_attn2_to_k.lora_down.weight,,middle_block_1_transformer_blocks_7_attn2_to_k.lora_down.weight
974,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_k.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn2_to_k.lora_up.weight,,middle_block_1_transformer_blocks_7_attn2_to_k.lora_up.weight
975,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_out_0.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn2_to_out_0.alpha,,middle_block_1_transformer_blocks_7_attn2_to_out_0.alpha
976,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_out_0.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_7_attn2_to_out_0.lora_down.weight,,middle_block_1_transformer_blocks_7_attn2_to_out_0.lora_down.weight
977,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_out_0.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn2_to_out_0.lora_up.weight,,middle_block_1_transformer_blocks_7_attn2_to_out_0.lora_up.weight
978,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_q.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn2_to_q.alpha,,middle_block_1_transformer_blocks_7_attn2_to_q.alpha
979,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_q.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_7_attn2_to_q.lora_down.weight,,middle_block_1_transformer_blocks_7_attn2_to_q.lora_down.weight
980,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_q.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn2_to_q.lora_up.weight,,middle_block_1_transformer_blocks_7_attn2_to_q.lora_up.weight
981,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_v.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_attn2_to_v.alpha,,middle_block_1_transformer_blocks_7_attn2_to_v.alpha
982,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_v.lora_down.weight,"torch.Size([32, 2048])",middle_block_1_transformer_blocks_7_attn2_to_v.lora_down.weight,,middle_block_1_transformer_blocks_7_attn2_to_v.lora_down.weight
983,lora_unet_middle_block_1_transformer_blocks_7_attn2_to_v.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_attn2_to_v.lora_up.weight,,middle_block_1_transformer_blocks_7_attn2_to_v.lora_up.weight
984,lora_unet_middle_block_1_transformer_blocks_7_ff_net_0_proj.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_ff_net_0_proj.alpha,,middle_block_1_transformer_blocks_7_ff_net_0_proj.alpha
985,lora_unet_middle_block_1_transformer_blocks_7_ff_net_0_proj.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_7_ff_net_0_proj.lora_down.weight,,middle_block_1_transformer_blocks_7_ff_net_0_proj.lora_down.weight
986,lora_unet_middle_block_1_transformer_blocks_7_ff_net_0_proj.lora_up.weight,"torch.Size([10240, 32])",middle_block_1_transformer_blocks_7_ff_net_0_proj.lora_up.weight,,middle_block_1_transformer_blocks_7_ff_net_0_proj.lora_up.weight
987,lora_unet_middle_block_1_transformer_blocks_7_ff_net_2.alpha,torch.Size([]),middle_block_1_transformer_blocks_7_ff_net_2.alpha,,middle_block_1_transformer_blocks_7_ff_net_2.alpha
988,lora_unet_middle_block_1_transformer_blocks_7_ff_net_2.lora_down.weight,"torch.Size([32, 5120])",middle_block_1_transformer_blocks_7_ff_net_2.lora_down.weight,,middle_block_1_transformer_blocks_7_ff_net_2.lora_down.weight
989,lora_unet_middle_block_1_transformer_blocks_7_ff_net_2.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_7_ff_net_2.lora_up.weight,,middle_block_1_transformer_blocks_7_ff_net_2.lora_up.weight
990,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_k.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn1_to_k.alpha,,middle_block_1_transformer_blocks_8_attn1_to_k.alpha
991,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_k.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_8_attn1_to_k.lora_down.weight,,middle_block_1_transformer_blocks_8_attn1_to_k.lora_down.weight
992,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_k.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn1_to_k.lora_up.weight,,middle_block_1_transformer_blocks_8_attn1_to_k.lora_up.weight
993,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_out_0.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn1_to_out_0.alpha,,middle_block_1_transformer_blocks_8_attn1_to_out_0.alpha
994,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_out_0.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_8_attn1_to_out_0.lora_down.weight,,middle_block_1_transformer_blocks_8_attn1_to_out_0.lora_down.weight
995,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_out_0.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn1_to_out_0.lora_up.weight,,middle_block_1_transformer_blocks_8_attn1_to_out_0.lora_up.weight
996,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_q.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn1_to_q.alpha,,middle_block_1_transformer_blocks_8_attn1_to_q.alpha
997,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_q.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_8_attn1_to_q.lora_down.weight,,middle_block_1_transformer_blocks_8_attn1_to_q.lora_down.weight
998,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_q.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn1_to_q.lora_up.weight,,middle_block_1_transformer_blocks_8_attn1_to_q.lora_up.weight
999,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_v.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn1_to_v.alpha,,middle_block_1_transformer_blocks_8_attn1_to_v.alpha
1000,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_v.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_8_attn1_to_v.lora_down.weight,,middle_block_1_transformer_blocks_8_attn1_to_v.lora_down.weight
1001,lora_unet_middle_block_1_transformer_blocks_8_attn1_to_v.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn1_to_v.lora_up.weight,,middle_block_1_transformer_blocks_8_attn1_to_v.lora_up.weight
1002,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_k.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn2_to_k.alpha,,middle_block_1_transformer_blocks_8_attn2_to_k.alpha
1003,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_k.lora_down.weight,"torch.Size([32, 2048])",middle_block_1_transformer_blocks_8_attn2_to_k.lora_down.weight,,middle_block_1_transformer_blocks_8_attn2_to_k.lora_down.weight
1004,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_k.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn2_to_k.lora_up.weight,,middle_block_1_transformer_blocks_8_attn2_to_k.lora_up.weight
1005,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_out_0.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn2_to_out_0.alpha,,middle_block_1_transformer_blocks_8_attn2_to_out_0.alpha
